director,genre,level,rating,runtime,studio,time,title,url,writer
Pedro González-Rubio,Art House & InternationalDrama,G,91%,73 minutes,Film Movement,"Jul 14, 2010",Alamar (To the Sea),https://www.rottentomatoes.com/m/alamar,Pedro González-Rubio
Alex Gibney,DocumentarySpecial Interest,"R (for some sexual material, nudity and language)",91%,117 minutes,Magnolia Pictures,"Nov 5, 2010",Client 9: The Rise and Fall of Eliot Spitzer,https://www.rottentomatoes.com/m/untitled_eliot_spitzer_project,Alex Gibney
Andrij ParekhDerek Cianfrance,DramaRomance,"R (On Appeal: for strong graphic sexual content, language, and a beating)",87%,114 minutes,Weinstein Company,"Dec 29, 2010",Blue Valentine,https://www.rottentomatoes.com/m/blue_valentine,Derek CianfranceJoey CurtisCami Delavigne
Hervé de LuzeRoman Polanski,DramaMystery & Suspense,"PG-13 (for language, brief nudity/sexuality, some violence and a drug reference)",84%,68 minutes,Summit Entertainment,"Feb 19, 2010",The Ghost Writer,https://www.rottentomatoes.com/m/10012063_ghost_writer,Robert HarrisRoman Polanski
Will Gluck,ComedyRomance,"PG-13 (for mature thematic elements involving teen sexuality, language and some drug material)",85%,92 minutes,Sony Pictures/Screen Gems,"Sep 17, 2010",Easy A,https://www.rottentomatoes.com/m/easy_a,Bert V. Royal
Davis Guggenheim,DocumentarySpecial Interest,"PG (for some thematic material, mild language and incidental smoking)",90%,103 minutes,Paramount Vantage,"Sep 24, 2010",Waiting for Superman,https://www.rottentomatoes.com/m/waiting_for_superman,Davis GuggenheimBilly Kimball
Yorgos Lanthimos,Art House & InternationalDrama,R,92%,96 minutes,Kino International,"Jun 25, 2010",Dogtooth (Kynodontas),https://www.rottentomatoes.com/m/dogtooth,Yorgos LanthimosEfthimis Filippou
Paul FierlingerSandra Fierlinger,AnimationDrama,NR,90%,83 minutes,New Yorker Films,"Sep 1, 2010",My Dog Tulip,https://www.rottentomatoes.com/m/my_dog_tulip,Paul Fierlinger
Jessica Hausner,Art House & InternationalDrama,NR,93%,99 minutes,Palisades Tartan,"Feb 17, 2010",Lourdes,https://www.rottentomatoes.com/m/lourdes,Jessica Hausner
Tony Scott,Action & AdventureDramaMystery & Suspense,"PG-13 (for sequences of action and peril, and some language)",86%,98 minutes,20th Century Fox,"Nov 12, 2010",Unstoppable,https://www.rottentomatoes.com/m/unstoppable_2010,Mark Bomback
Darren Aronofsky,DramaMystery & Suspense,"R (for strong sexual content, disturbing violent images, language and some drug use)",85%,108 minutes,Fox Searchlight,"Dec 3, 2010",Black Swan,https://www.rottentomatoes.com/m/black_swan_2010,Andres HeinzMark HeymanJohn J. McLaughlin
Marco Bellocchio,Art House & InternationalDrama,NR,92%,128 minutes,IFC Films,"Mar 19, 2010",Vincere,https://www.rottentomatoes.com/m/vincere,Marco BellocchioDaniela Ceselli
Olivier Assayas,Art House & InternationalClassicsDramaTelevision,NR,93%,333 minutes,IFC Films,"Oct 15, 2010",Carlos,https://www.rottentomatoes.com/m/carlos_2010,Olivier AssayasDan Franck
Samuel Maoz,Art House & InternationalDrama,"R (for disturbing bloody war violence, language including sexual references, and some nudity.)",90%,94 minutes,Sony Classic Pictures,"Aug 6, 2010",Lebanon (Levanon),https://www.rottentomatoes.com/m/lebanon_2010,Samuel Maoz
Juan José Campanella,Art House & InternationalDramaMystery & SuspenseRomance,"R (for a rape scene, violent images, some graphic nudity and language)",91%,129 minutes,Sony Pictures Classics,"Apr 16, 2010",The Secret in Their Eyes (El Secreto de Sus Ojos),https://www.rottentomatoes.com/m/secret_in_their_eyes,Juan José CampanellaEduardo Sacheri
Matt Reeves,DramaHorrorScience Fiction & FantasyRomance,"R (for strong bloody horror violence, language and a brief sexual situation)",88%,116 minutes,Overture Films,"Oct 1, 2010",Let Me In,https://www.rottentomatoes.com/m/let_me_in,Matt Reeves
Tomm MooreNora Twomey,AnimationArt House & InternationalKids & FamilyScience Fiction & Fantasy,G,91%,75 minutes,GKIDS,"Mar 12, 2010",The Secret of Kells,https://www.rottentomatoes.com/m/the_secret_of_kells,Fabrice Ziolkowski
Andrea Arnold,Art House & InternationalDrama,NR,91%,124 minutes,IFC,"Jan 15, 2010",Fish Tank,https://www.rottentomatoes.com/m/fish_tank,Andrea Arnold
Amir Bar-Lev,DocumentarySpecial Interest,R (for language),93%,95 minutes,The Weinstein Company,"Aug 20, 2010",The Tillman Story,https://www.rottentomatoes.com/m/the_tillman_story,Mark MonroeJoe BiniAmir Bar-Lev
Nathan GrenoByron Howard,AnimationComedyKids & FamilyMusical & Performing Arts,PG (for brief mild violence),89%,100 minutes,Walt Disney Pictures,"Nov 24, 2010",Tangled,https://www.rottentomatoes.com/m/tangled,Jacob GrimmDan Fogelman
Frederick Wiseman,DocumentarySpecial InterestSports & Fitness,NR,95%,91 minutes,Zipporah Films,"Jul 28, 2014",Boxing Gym,https://www.rottentomatoes.com/m/boxing_gym,
Bahman Ghobadi,Art House & InternationalComedyDrama,NR,95%,106 minutes,IFC Films,"Apr 16, 2010",No One Knows About Persian Cats (Les Chats Persans),https://www.rottentomatoes.com/m/no_one_knows_about_persian_cats,Bahman GhobadiRoxana SaberiHossein M. Abkenar
Michael Stephenson,ComedyDocumentaryTelevision,NR,95%,93 minutes,Area23A,"Apr 23, 2010",Best Worst Movie,https://www.rottentomatoes.com/m/best_worst_movie,Michael Stephenson
Ricki SternAnne Sundberg,ComedyDocumentaryTelevision,R (for language and sexual humor),91%,84 minutes,IFC Films,"Jun 11, 2010",Joan Rivers: A Piece Of Work,https://www.rottentomatoes.com/m/joan_rivers_a_piece_of_work,Ricki Stern
Christopher Nolan,Action & AdventureDramaMystery & SuspenseScience Fiction & Fantasy,PG-13 (for sequences of violence and action throughout),86%,148 minutes,Warner Bros. Pictures,"Jul 16, 2010",Inception,https://www.rottentomatoes.com/m/inception,Christopher Nolan
Mike Leigh,ComedyDrama,PG-13 (for some language),92%,129 minutes,Sony Classics,"Dec 29, 2010",Another Year,https://www.rottentomatoes.com/m/another_year_2010,Mike Leigh
David O. Russell,DramaSports & Fitness,"R (for language throughout, drug content, some violence and sexuality)",90%,115 minutes,Paramount Pictures,"Dec 10, 2010",The Fighter,https://www.rottentomatoes.com/m/the_fighter_2011,Eric JohnsonScott SilverPaul TamasyPaul Attanasio
Sylvain Chomet,AnimationArt House & InternationalComedyDrama,PG (for thematic elements and smoking),91%,82 minutes,Sony Pictures Classics,"Dec 25, 2010",The Illusionist (L'illusionniste),https://www.rottentomatoes.com/m/the_illusionist_2009,Jacques TatiSylvain Chomet
Banksy,ComedyDocumentaryMusical & Performing ArtsSpecial Interest,R (for some language),95%,86 minutes,Abarorama,"Dec 14, 2010",Exit Through The Gift Shop,https://www.rottentomatoes.com/m/exit_through_the_gift_shop,
Yael Hersonski,Art House & InternationalDocumentarySpecial InterestTelevision,NR (for disturbing images and Holocaust atrocities including graphic nudity),97%,89 minutes,Oscilloscope Pictures,"Jan 1, 2011",A Film Unfinished,https://www.rottentomatoes.com/m/film_unfinished,
Scandar CoptiYaron Shani,Art House & InternationalDrama,NR,97%,120 minutes,Kino International,"Feb 3, 2010",Ajami,https://www.rottentomatoes.com/m/ajami,Scandar CoptiYaron Shani
Warwick Thornton,Art House & InternationalComedyDramaRomance,NR,94%,101 minutes,Indiepix,"Oct 15, 2010",Samson and Delilah,https://www.rottentomatoes.com/m/10011295_samson_and_delilah,Warwick Thornton
Bong Joon Ho,Art House & InternationalDramaMystery & Suspense,"R (for language, some sexual content, violence and drug use)",96%,129 minutes,Magnolia Pictures,"Mar 12, 2010",Mother (Madeo),https://www.rottentomatoes.com/m/madeo,Bong Joon HoPark Eun-kyo
Sebastian JungerTim Hetherington,DocumentarySpecial Interest,R (for language throughout including some descriptions of violence),96%,93 minutes,National Geographic,"Dec 7, 2010",Restrepo,https://www.rottentomatoes.com/m/restrepo,
Jeff Malmberg,DocumentaryScience Fiction & Fantasy,NR,98%,83 minutes,The Cinema Guild,"Apr 12, 2011",Marwencol,https://www.rottentomatoes.com/m/marwencol,
David Michôd,Art House & InternationalDrama,"R (for vioence, drug content and pervasive language)",95%,112 minutes,Sony Pictures Classics,"Aug 13, 2010",Animal Kingdom,https://www.rottentomatoes.com/m/animal_kingdom,David Michôd
Ben Affleck,Action & AdventureDramaMystery & SuspenseRomance,"R (for strong violence, pervasive language, some sexuality and drug use)",93%,151 minutes,Warner Bros. Pictures,"Sep 17, 2010",The Town,https://www.rottentomatoes.com/m/the_town,Peter CraigBen AffleckAaron Stockard
Danny Boyle,Drama,R (for language and some disturbing violent content/bloody images),93%,94 minutes,Fox Searchlight,"Nov 5, 2010",127 Hours,https://www.rottentomatoes.com/m/127_hours,Danny BoyleSimon Beaufoy
Charles Ferguson (III) ,DocumentarySpecial Interest,PG-13 (for some drug and sex-related material),98%,108 minutes,Sony Pictures Classics,"Oct 8, 2010",Inside Job,https://www.rottentomatoes.com/m/inside_job_2010,Charles Ferguson (III) Chad BeckAdam Bolt
Tom Hooper,Drama,PG-13 (for some language),94%,118 minutes,The Weinstein Company,"Nov 26, 2010",The King's Speech,https://www.rottentomatoes.com/m/the_kings_speech,David Seidler
Joel CoenEthan Coen,Action & AdventureDramaWestern,PG-13 (for some intense sequences of western violence including disturbing images),96%,110 minutes,Paramount Pictures,"Dec 22, 2010",True Grit,https://www.rottentomatoes.com/m/true_grit_2010,Joel CoenEthan Coen
Debra Granik,Drama,"R (for some drug material, language and violent content)",94%,99 minutes,Roadside Attractions,"Jun 11, 2010",Winter's Bone,https://www.rottentomatoes.com/m/10012136_winters_bone,Debra GranikAnne Rosellini
Dean DeBloisChris Sanders,AnimationKids & FamilyScience Fiction & Fantasy,"PG (for sequences of intense action and some scary images, and brief mild language)",99%,98 minutes,Paramount/DWA,"Mar 26, 2010",How to Train Your Dragon,https://www.rottentomatoes.com/m/how_to_train_your_dragon,Chris SandersDean DeBloisWilliam Davies
Lee Unkrich,AnimationComedyKids & Family,G,98%,103 minutes,Walt Disney Pictures,"Jun 18, 2010",Toy Story 3,https://www.rottentomatoes.com/m/toy_story_3,Lee UnkrichAndrew StantonJohn LasseterMichael Arndt
Emmanuel Mouret,Art House & InternationalComedyRomance,NR,78%,102 minutes,Music Box Films,"Mar 27, 2009",Un Baiser s'il vous plaît (Shall We Kiss?),https://www.rottentomatoes.com/m/shall_we_kiss,Emmanuel Mouret
Spike Jonze,Action & AdventureAnimationComedyDramaKids & FamilyScience Fiction & Fantasy,"PG (for mild thematic elements, some adventure action and brief language)",72%,101 minutes,Warner Bros. Pictures,"Oct 16, 2009",Where the Wild Things Are,https://www.rottentomatoes.com/m/where_the_wild_things_are,Dave EggersSpike Jonze
Lisa Cholodenko,ComedyDrama,"R (for strong sexual content, nudity, language and some teen drug and alcohol use)",93%,104 minutes,Focus Features,"Jul 9, 2010",The Kids Are All Right,https://www.rottentomatoes.com/m/10012141_kids_are_all_right,Lisa CholodenkoStuart Blumberg
Michael Moore,DocumentarySpecial Interest,R (for some language),75%,120 minutes,Overture Films,"Sep 23, 2009",Capitalism: A Love Story,https://www.rottentomatoes.com/m/capitalism_a_love_story,Michael Moore
Corneliu Porumboiu,Art House & InternationalComedyDrama,NR,79%,115 minutes,IFC Films,"Dec 23, 2009","Politist, adj. (Police, Adjective)",https://www.rottentomatoes.com/m/police_adjective,Corneliu Porumboiu
Lixin Fan,Art House & InternationalDocumentarySpecial Interest,PG,100%,85 minutes,Zeitgeist Films,"Sep 3, 2010",Last Train Home,https://www.rottentomatoes.com/m/last_train_home_2009,Lixin Fan
Jacques Audiard,Art House & InternationalDrama,"R (for strong violence, sexual content, nudity, language and drug material)",97%,155 minutes,Sony Pictures Classics,"Feb 26, 2010",A Prophet (Un prophete),https://www.rottentomatoes.com/m/1213205_prophet,Jacques AudiardThomas BidegainNicolas PeufaillitAbdel Raouf Dafri
Lucy WalkerJoão JardimKaren Harley,Art House & InternationalDocumentaryMusical & Performing Arts,NR,100%,95 minutes,Arthouse Films,"Mar 15, 2011",Waste Land,https://www.rottentomatoes.com/m/waste_land,
Jean-Marc Vallée,Drama,"PG (for some mild sensuality, a scene of violence, and brief incidental language and smoking)",77%,105 minutes,Apparition,"Dec 18, 2009",The Young Victoria,https://www.rottentomatoes.com/m/young_victoria,Julian Fellowes
Stéphane AubierVincent Patar,Action & AdventureAnimationArt House & InternationalKids & Family,NR,81%,76 minutes,Zeitgeist Films,"Dec 16, 2009",A Town Called Panic (Panique au village),https://www.rottentomatoes.com/m/a_town_called_panic,Stéphane AubierVincent PatarGuillaume MalandrinVincent Tavier
David Fincher,Drama,"PG-13 (for sexual content, drug and alcohol use and language)",95%,120 minutes,Columbia Pictures,"Oct 1, 2010",The Social Network,https://www.rottentomatoes.com/m/the_social_network,Aaron Sorkin
Nora Ephron,ComedyDrama,PG-13 (for brief strong language and some sensuality),76%,123 minutes,Sony/Columbia Pictures,"Aug 7, 2009",Julie & Julia,https://www.rottentomatoes.com/m/julie_and_julia,Nora Ephron
Lynn Shelton,ComedyDrama,"R (for some strong sexual content, pervasive language and a scene of drug use)",79%,94 minutes,Magnolia Pictures,"Jul 10, 2009",Humpday,https://www.rottentomatoes.com/m/humpday,Lynn Shelton
Davis Guggenheim,DocumentaryMusical & Performing Arts,"PG (for mild thematic elements, brief language and smoking)",80%,98 minutes,Sony Pictures Classics,"Dec 22, 2009",It Might Get Loud,https://www.rottentomatoes.com/m/it_might_get_loud,
Clint Eastwood,DramaSports & Fitness,PG-13 (for brief strong language),76%,134 minutes,Warner Bros. Pictures,"Dec 11, 2009",Invictus,https://www.rottentomatoes.com/m/invictus,Anthony Peckham
Todd Graff,ComedyDramaMusical & Performing Arts,PG (for some thematic elements and mild language),81%,111 minutes,Summit Entertainment,"Aug 14, 2009",Bandslam,https://www.rottentomatoes.com/m/bandslam,Josh A. CaganTodd Graff
Christopher Smith (VIII),Mystery & Suspense,R (for violence and language),80%,99 minutes,Icon Entertainment International,"Oct 24, 2009",Triangle,https://www.rottentomatoes.com/m/1212111_triangle,Christopher Smith (VIII)
Shawn MaurerScott Sanders,Action & AdventureComedy,"R (for sexuality/nudity, language, some violence and drug content)",83%,84 minutes,Sony Pictures,"Oct 16, 2009",Black Dynamite,https://www.rottentomatoes.com/m/black_dynamite,Byron Keith MinnsScott SandersByron MinnsMichael Jai White
Yojiro Takita,Art House & InternationalDrama,PG-13 (for thematic material),79%,131 minutes,Regent Releasing,"May 29, 2009",Okuribito (Departures),https://www.rottentomatoes.com/m/10010675_departures,Kundo Koyama
Pedro Almodóvar,Art House & InternationalComedyDramaMystery & Suspense,"R (for sexual content, language and some drug material)",81%,128 minutes,Sony Pictures Classics,"Nov 20, 2009",Broken Embraces,https://www.rottentomatoes.com/m/broken_embraces,Pedro Almodóvar
Jeffrey Levy-Hinte,DocumentaryMusical & Performing Arts,PG-13 (for some thematic elements and brief strong language),84%,93 minutes,Sony Pictures Classics,"Jan 26, 2010",Soul Power,https://www.rottentomatoes.com/m/soul_power,
R.J. Cutler,DocumentarySpecial Interest,PG-13 (for brief strong language),83%,90 minutes,Roadside Attractions,"Feb 23, 2010",The September Issue,https://www.rottentomatoes.com/m/september_issue,
Bruce McDonald,Art House & InternationalHorror,PG,84%,95 minutes,IFC Entertainment,"May 29, 2009",Pontypool,https://www.rottentomatoes.com/m/pontypool,Tony Burgess
Ondi Timoner,DocumentarySpecial Interest,NR,82%,89 minutes,Interloper & Abramorama,"Aug 28, 2009",We Live in Public,https://www.rottentomatoes.com/m/1217389_we_live_in_public,Ondi Timoner
Kenny Ortega,DocumentaryMusical & Performing Arts,PG (for some suggestive choreography and scary images),81%,121 minutes,Sony Pictures/Columbia Pictures,"Jan 26, 2010",Michael Jackson's This Is It,https://www.rottentomatoes.com/m/michael_jackson_this_is_it,
Jane Campion,DramaRomance,"PG (for thematic elements, some sensuality, brief language and incidental smoking)",82%,119 minutes,Apparition Films,"May 15, 2009",Bright Star,https://www.rottentomatoes.com/m/bright_star,Jane Campion
Chris Smith,DocumentarySpecial Interest,NR,83%,85 minutes,Vitagraph Films,"Jun 15, 2010",Collapse,https://www.rottentomatoes.com/m/10011949_collapse,
Clint Eastwood,Drama,"R (for language throughout, and some violence)",80%,130 minutes,Warner Bros. Pictures/Village Roadshow,"Jan 9, 2009",Gran Torino,https://www.rottentomatoes.com/m/gran_torino,Nick Schenk
Justin ScheinLaura Gabbert,DocumentarySpecial Interest,NR,83%,92 minutes,Oscilloscope Pictures,"Jan 19, 2010",No Impact Man: The Documentary,https://www.rottentomatoes.com/m/1213732_no_impact_man,
Chan-wook Park,Art House & InternationalDramaHorror,"R (for graphic bloody violence, disturbing images, strong sexual content, nudity and language)",81%,133 minutes,Focus Features,"Apr 30, 2009",Bakjwi (Thirst),https://www.rottentomatoes.com/m/10011304_thirst,Chan-wook ParkChung Seo-KyungChung Chung-Hoon
Todd Phillips,Comedy,"R (for pervasive language, sexual content including nudity, and some drug material)",78%,100 minutes,Warner Bros. Pictures,"Jun 5, 2009",The Hangover,https://www.rottentomatoes.com/m/10010667_hangover,Jon LucasTodd Phillips
So Yong Kim,Art House & InternationalDrama,PG,87%,89 minutes,Oscilloscope Pictures,"Apr 22, 2009",Treeless Mountain,https://www.rottentomatoes.com/m/treeless_mountain,So Yong Kim
Mark LinfieldAlastair Fothergill,Documentary,G,86%,99 minutes,Walt Disney Films,"Apr 22, 2009",Disneynature Earth,https://www.rottentomatoes.com/m/disneynature_earth_2009,Alastair FothergillMark LinfieldLeslie Megahey
Oren Peli,HorrorMystery & Suspense,R (for language),83%,86 minutes,Paramount Pictures,"Sep 25, 2009",Paranormal Activity,https://www.rottentomatoes.com/m/paranormal_activity,Oren Peli
Michael Haneke,Art House & InternationalDrama,R (for some disturbing content involving violence and sexuality),85%,144 minutes,Sony Pictures Classics,"Dec 30, 2009",The White Ribbon (Das weisse Band),https://www.rottentomatoes.com/m/white_ribbon,Michael Haneke
Steven Soderbergh,ComedyDramaMystery & Suspense,R (for language),80%,108 minutes,Warner Bros. Pictures,"Sep 18, 2009",The Informant!,https://www.rottentomatoes.com/m/1200661_informant,Scott Z. Burns
John Hamburg,ComedyDrama,"R (for pervasive language, including crude and sexual references)",83%,105 minutes,Dreamworks/Paramount,"Mar 20, 2009","I Love You, Man",https://www.rottentomatoes.com/m/i_love_you_man,John HamburgLarry Levin
Gianni Di GregorioGianni Di Venanzo,Art House & InternationalComedyDrama,G,88%,75 minutes,Zeitgeist Films,"Apr 1, 2009",Pranzo di Ferragosto (Mid-August Lunch),https://www.rottentomatoes.com/m/mid_august_lunch,Gianni Di VenanzoGianni Di Gregorio
Ti West,Horror,R (for some bloody violence),87%,93 minutes,Magnolia Pictures,"Oct 30, 2009",The House of the Devil,https://www.rottentomatoes.com/m/house_of_the_devil,Ti West
Anthony Fabian,Art House & InternationalDramaMystery & Suspense,PG-13 (for thematic material some violence and sexuality),86%,107 minutes,Elysian Films,"Oct 30, 2009",Skin,https://www.rottentomatoes.com/m/10011284_skin,Helen CrawleyHelena KrielJessie Keyt
Drew Barrymore,ComedyDrama,"PG-13 (for sexual content including crude dialogue, language and drug material)",84%,111 minutes,Fox Searchlight Pictures,"Oct 2, 2009",Whip It,https://www.rottentomatoes.com/m/whip_it,Shauna Cross
Frederick Wiseman,DocumentaryMusical & Performing Arts,NR,87%,159 minutes,Zipporah Films,"Jul 28, 2014",La Danse -- Le Ballet de l'Opera de Paris,https://www.rottentomatoes.com/m/la_danse____le_ballet_de_lopera_de_paris,
Robert D. Siegel,ComedyDrama,R (for language and some sexuality),86%,85 minutes,First Independant Pictures,"Aug 28, 2009",Big Fan,https://www.rottentomatoes.com/m/1213684_big_fan,Robert D. Siegel
Werner Herzog,DramaMystery & Suspense,"R (for drug use and language throughout, some violence and sexuality)",86%,121 minutes,First Look Pictures,"Nov 20, 2009",Bad Lieutenant: Port of Call New Orleans,https://www.rottentomatoes.com/m/bad_lieutenant_port_of_call_new_orleans,William M. FinkelsteinVictor Argo
Martin Provost,Art House & InternationalDrama,PG,88%,121 minutes,Music Box Films,"Jun 5, 2009",Séraphine,https://www.rottentomatoes.com/m/seraphine,Martin ProvostMarc Abdelnour
Cherien Dabis,Drama,"PG-13 (for brief drug use involving teens, and some language)",87%,96 minutes,National Geographic,"Sep 4, 2009",Amreeka,https://www.rottentomatoes.com/m/1215792_amreeka,Cherien Dabis
James Toback,DocumentarySports & Fitness,R (for language including sexual references),85%,90 minutes,Sony Pictures Classics,"Aug 18, 2009",Tyson,https://www.rottentomatoes.com/m/1208128_tyson,
Niels Arden Oplev,Art House & InternationalDramaMystery & Suspense,"R (for disturbing violent content including rape, grisly images, sexual material, nudity and language)",86%,154 minutes,Music Box Films,"Feb 27, 2009",The Girl with the Dragon Tattoo,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,Nikolaj ArcelRasmus Heisterberg
David Yates (II),Action & AdventureDramaKids & FamilyMystery & SuspenseScience Fiction & Fantasy,"PG (for scary images, some violence, language and mild sensuality)",83%,154 minutes,Warner Bros. Pictures,"Jul 15, 2009",Harry Potter and the Half-Blood Prince,https://www.rottentomatoes.com/m/harry_potter_and_the_half_blood_prince,Steve Kloves
James Cameron,Action & AdventureComedyMystery & SuspenseScience Fiction & Fantasy,"PG-13 (for intense epic battle sequences and warfare, sensuality, language and some smoking)",82%,162 minutes,20th Century Fox,"Dec 18, 2009",Avatar,https://www.rottentomatoes.com/m/avatar,James Cameron
Richard Linklater,Art House & InternationalComedyDrama,PG-13 (for sexual references and smoking),85%,119 minutes,Freestyle Releasing,"Nov 25, 2009",Me and Orson Welles,https://www.rottentomatoes.com/m/1203732_me_and_orson_welles,Vince Palmo Jr.Holly Gent Palmo
Marc Webb,ComedyDramaRomance,PG-13 (for sexual material and language),85%,95 minutes,Fox Searchlight Pictures,"Jul 17, 2009",500 Days of Summer,https://www.rottentomatoes.com/m/500_days_of_summer,Scott NeustadterMichael H. Weber
Chris MillerChristopher MillerPhil Lord,AnimationComedyKids & Family,PG (for brief mild language),86%,81 minutes,Sony Pictures,"Sep 18, 2009",Cloudy With a Chance of Meatballs,https://www.rottentomatoes.com/m/1196077_cloudy_with_a_chance_of_meatballs,Chris MillerChristopher MillerPhil LordJudi Barrett
Eran Riklis,Art House & InternationalDramaRomance,PG,91%,106 minutes,IFC,"Apr 17, 2009",Etz Limon (Lemon Tree),https://www.rottentomatoes.com/m/etz_limon,Eran RiklisSuha Arraf
Jan Troell,Art House & InternationalDrama,PG,90%,125 minutes,IFC Films,"Mar 6, 2009",Maria Larssons eviga ögonblick (Everlasting Moments) (Maria Larsson's Everlasting Moment),https://www.rottentomatoes.com/m/everlasting_moments,Niklas RadstromJan TroellAgneta Ulfsäter Troell
Paolo Sorrentino,Art House & InternationalDrama,NR,92%,117 minutes,Music Box Films,"Apr 23, 2009",Il Divo,https://www.rottentomatoes.com/m/il_divo,Paolo Sorrentino
Kevin Macdonald,DramaMystery & Suspense,"PG-13 (for some violence, language including sexual references, and brief drug content)",84%,127 minutes,Universal Pictures,"Apr 17, 2009",State of Play,https://www.rottentomatoes.com/m/1193230_state_of_play,Tony GilroyPaul AbbottMatthew Michael CarnahanBilly Ray
John Woo,Action & AdventureArt House & InternationalClassicsDrama,R (for sequences of epic warfare),91%,148 minutes,Magnolia Pictures,"Nov 20, 2009",Red Cliff (Chi Bi),https://www.rottentomatoes.com/m/red_cliff,Kuo ZhengJohn WooKhan ChanKuo ChengSheng HeyuGuo ZhengChan Khan
Tom Ford (VIII) ,Drama,R (for some disturbing images and nudity/sexual content),85%,101 minutes,The Weinstein Company,"Dec 11, 2009",A Single Man,https://www.rottentomatoes.com/m/1218217_single_man,Tom Ford (VIII) David Scearce
John MuskerRon Clements,AnimationComedyKids & FamilyMusical & Performing ArtsScience Fiction & FantasyRomance,G,85%,95 minutes,Walt Disney Pictures,"Dec 11, 2009",The Princess and the Frog,https://www.rottentomatoes.com/m/1196003_princess_and_the_frog,Ron ClementsJohn MuskerRob Edwards
Cary Joji Fukunaga,DramaMystery & Suspense,"R (for violence, language and sexual content)",88%,96 minutes,Focus Features,"Mar 20, 2009",Sin Nombre,https://www.rottentomatoes.com/m/10009823_sin_nombre,Cary Joji Fukunaga
Adam Del DeoJames D. Stern,DocumentaryDramaMusical & Performing Arts,PG-13 (for some strong language sexual references),92%,93 minutes,Sony Pictures Classics,"Oct 13, 2009",Every Little Step,https://www.rottentomatoes.com/m/every_little_step,
Aviva Kempner,DocumentaryTelevision,G,93%,90 minutes,IFC Films,"Jul 10, 2009","Yoo-hoo, Mrs. Goldberg",https://www.rottentomatoes.com/m/yoo_hoo_mrs_goldberg,Aviva Kempner
Greg Mottola,ComedyDrama,"R (for language, drug use and sexual references)",88%,106 minutes,Miramax Films,"Apr 3, 2009",Adventureland,https://www.rottentomatoes.com/m/adventureland,Greg Mottola
Sebastián Silva,Art House & InternationalDrama,NC17,93%,117 minutes,Elephant Eye Films,"Oct 16, 2009",La Nana (The Maid),https://www.rottentomatoes.com/m/la_nana,Sebastián SilvaPedro Peirano
Bobcat Goldthwait,ComedyDrama,"R (for language, crude sexual content, some drug use and disturbing images)",89%,99 minutes,Magnolia Pictures,"Aug 21, 2009",World's Greatest Dad,https://www.rottentomatoes.com/m/1213731_worlds_greatest_dad,Bobcat Goldthwait
Roger DeakinsJoel CoenEthan Coen,ComedyDrama,"R (for language, some sexuality/nudity and brief violence)",89%,106 minutes,Focus Features,"Oct 2, 2009",A Serious Man,https://www.rottentomatoes.com/m/a_serious_man,Joel CoenEthan Coen
Duncan Jones,Mystery & SuspenseScience Fiction & Fantasy,R (for language),90%,97 minutes,Sony Pictures Classics,"Jun 12, 2009",Moon,https://www.rottentomatoes.com/m/moon,Nathan ParkerDuncan Jones
Ramin Bahrani,ComedyDrama,R (for language),93%,91 minutes,Roadside Attractions,"Mar 27, 2009",Goodbye Solo,https://www.rottentomatoes.com/m/goodbye_solo,Ramin BahraniBahareh Azimi
Oren Moverman,DramaRomance,R (for language and some sexual content/nudity),89%,113 minutes,Oscilloscope Pictures,"Nov 13, 2009",The Messenger,https://www.rottentomatoes.com/m/10011016_messenger,Oren MovermanAlessandro Camon
Tom Hooper,DramaSports & Fitness,R (for language),92%,97 minutes,Sony Pictures Classics,"Oct 9, 2009",The Damned United,https://www.rottentomatoes.com/m/damned_united,Peter Morgan
Terence Davies,Documentary,NR,95%,77 minutes,Strand Releasing,"Jan 23, 2009",Of Time and the City,https://www.rottentomatoes.com/m/of_time_and_the_city,Terence Davies
Kiyoshi Kurosawa,Art House & InternationalDrama,PG-13 (for thematic elements and brief strong language),94%,121 minutes,Regent Releasing,"Mar 13, 2009",Tokyo Sonata (Tokyo Sonata),https://www.rottentomatoes.com/m/tokyo_sonata,Kiyoshi KurosawaSachiko TanakaMax Mannix
Scott Cooper,DramaMusical & Performing ArtsRomance,R (for language and brief sexuality),90%,112 minutes,Fox Searchlight Pictures,"Dec 16, 2009",Crazy Heart,https://www.rottentomatoes.com/m/crazy_heart,Scott Cooper
Olivier Assayas,Art House & InternationalDramaKids & Family,NR,94%,102 minutes,IFC Films,"May 15, 2009",L'Heure d'été (Summer Hours),https://www.rottentomatoes.com/m/summer_hours,Olivier Assayas
Hayao Miyazaki,Action & AdventureAnimationArt House & InternationalKids & FamilyScience Fiction & Fantasy,G,92%,101 minutes,Walt Disney Pictures,"Aug 14, 2009",Ponyo,https://www.rottentomatoes.com/m/ponyo,Hayao MiyazakiMelissa Mathison
Jeff Stilson,ComedyDocumentarySpecial Interest,"PG-13 (for some language including sex and drug references, and brief partial nudity)",95%,96 minutes,Roadside Attractions,"Oct 9, 2009",Good Hair,https://www.rottentomatoes.com/m/good_hair,Chris RockJeff StilsonLance CroutherChuck Sklar
